5363	qoraagii sare	that superb writer (you know)
5364	qoraagii weynaa	that great writer (you now)
5366	qoraagaas sare	that great writer (over there)
5367	qoraageenna weyn	our great writer
5368	qoraageennii hore	that earlier wrtier of ours (you know)
5369	Qoraageennu waa weyn yahay.	Our writer is great.
5370	Qoraageennii hore waa uu weynaa.	That earlier writer of ours was great.
5371	Qoraageennii hore waa uu sarreeyey.	That earlier writer of ours was the best.
5372	Miyaad aragtay qoraageennii?	Have you seen our writer?
5374	Haa, waan arkay qoraageennii.	Yes, I have seen our writer.
5377	Waxaan arkay qoraageennii.	I saw our writer.
5379	Qoraagii waa la dilay.	The writer was killed.
5380	Qoraagii weynaa waa la waayay.	The great writer couldn't be found.
5381	Qoraagii weynaa waa la la' yahay.	The great writer cannot be found.
5382	Miyaad la hadashay qoraagii weynaa?	Have you talked with the great writer?
5383	Ma la hadashay qoraagii weynaa?	Have you talked with the great writer?
5384	Haa, waan la hadlay qoraagii weynaa.	Yes, I have talked with the great writer.
5385	Maya, lama hadlin qoraagii weynaa.	No, I haven't talked with the great writer.
5386	Maya, ma aanan la hadlin qoraagii weynaa.	No, I haven't talked with the great writer.
5388	qoraayadii iyo boqorradii	those writers and those kings (you know)
5389	qoraayo iyo boqorro	writers and kings
5390	boqorro iyo qoraayo	kings and writers
5391	qoraayadeenna iyo boqorradeenna	our writers and our kings
5392	qoraayadaas iyo boqorradaas	those writers and those kings (over there)
5393	qoraayada waaweyn	the great writers
5394	qoraayo waaweyn	great writers
5396	shan qoraa oo waaweyn	five great writers
5397	qoraagee	which writer?
5398	qoraayadee	which writers?
5399	Kuwani ma qoraayo baa?	Are these writers?
5400	Kuwani waa qoraayo.	These are writers.
5401	Miyaad aragtay qoraayadii?	Have you seen the writers?
5402	Qoraayadii miyaad aragtay?	Have you seen the writers?
5403	Haa, waan arkay qoraayadii.	Yes, I have seen the writers.
5404	Qoraayadii waa kuwa kan.	The writers are these (people) here.
5405	Qoraayadii halkan bay joogaan.	The writers are (standing) over here.
5406	Qoraayadii way joogaan.	The writers are (present).
