1	aabb-	father\M	L
2	aad	PRO.SBJ.2	L
3	aalasay	early morning\F	
4	Aamin-	Amina\F	H?
5	aan 2	NEG	
6	aan 1	PRO.SBJ.1	L
7	aannu	PRO.SBJ.1.PL.EXCL	
8	aaway?	where?	
9	abbaay-	sister	L
10	abboow	brother	
11	abjed	camel mattress\M	H?
12	abley	dagger\F	H?
13	abti	maternal uncle\M	finT
14	abwaan	scholar\M	H
15	addin 1	call to prayer\M	H
16	addin 2	limb	
17	adeer	paternal uncle\M	finTL
18	-keen	POSS.1.PL.INCL	L > H
19	adhi	goats & sheep\M.COLL	L
20	adi-	PRO.2.SG	
21	af	language\M 	L
22	-aC	PL	L > H
23	-ka	DEF	L > H
24	afantari	infantry	
25	afar	four\F	L
26	ajend-	agenda	
27	akhri-	read\V	
28	-s	DER\M	
29	albaab	door\M	H
30	ama	or	
31	ani-	PRO.1.SG	L
32	aqal	house\M	L
33	arag	vision\M	L
34	Arbaco	Wednesday\F	
35	arbe	bull elephant	
37	arday	student\M	L
38	ardo|f	students\F.COLL	
39	Ardo|pn	Ardo\F	
40	ark-	see\V	L
41	aroor	dawn\F	
42	arrin	matter, issue	L
43	asal	pigment\F	L
44	askar	soldiers\F.COLL	
45	askari	soldier\M	
46	-ad	DER\F	L > H
47	awr 2	camels\F.COLL	
48	awr 1	camel\M	L
49	axdi	promise\M	L?
50	axlaaq	character	
51	Axmed	Ahmed\M	
52	ay	PRO.SBJ.3.SG.F/PL	L
53	ayaa	FOC	
54	Ayaan	Ayan\F	
55	aydin	PRO.SBJ.2.PL	
56	ayeey-	grandmother\F	H
57	aynu	PRO.SBJ.1.PL.INCL	
58	Berber-	Berbera\F	H
60	baabuur	car\M	L
61	baad	wing\M	H
62	baal	wing, feather\M	L
63	baast-	pasta	
64	bad	sea\F	L
65	bakoorad	walking stick\F	L
66	bal	then	L
67	banooni	football\M	
68	Baraawe	Baraawe	
69	bar-	teach\V	
70	bas	bus\M	L
71	bax-	go out\V	L
72	Baydhab-	Baydhabo	
73	beed	egg\M.COLL	L?
74	been	lie	
75	beer 2	farmland\F	L
76	beer 1	liver\M	L?
77			
78	bidix	left side\F	H
79	biib-	fly\V	
80	bilcaan	women\F.COLL	
81	bisad	cat\F	L
82	biy-	water\F.PL	H
83	bog	page\M	HH
84	bood-	jump\V	H
85	Booram-	Borama\F	
86	boorash	porridge\M	L
87	boos	place\M	L
88	Boosaas-	Boosaaso\F	
89	boqor	king\M	L
90	bur	flour\M	
91	Burc-	Burco\F	L
92	burrus	hammer\M	H
93	buug	book\M	H
94	buur	mountain\F	L
95	caadaley	conditional\?	
96	caadi	something normal\M	
97	caan-	milk\F.PL	L
98	Caash-	Asha\F	
99	cabb-	drink\V	H/L?
100	Cabdi	Cabdi\M	L?
101	cad 1	piece of meat\M	H
102	cadow	enemy\M	
103	calaamad	symbol\F	
104	calamm-	flag\M	L
105	Calasow	Calasow\M	
106	Cali	Ali\M	L
107	camb-	mango\M	L
108	carruur	children\F.COLL	L
109	cashar	lesson\M	
110	caw-	evening\F	
111	caws	grass\M	L/H?
112	cayrsaday	chased	
113	ceel	well\M	L
114	cid	person	
115	ciid	eid\F	
116	ciidam-	force\M	
117	cirbad	needle\F	L
118	Cismaan	Osman\M	
119	cod	voice, sound\M	L
120	Cumar	Omar\M	
121	cun-	eat\V	L
122	-t- 1	DER\F	
123	cusb-	new\ADJ	L
124	da'	age\F	
125	daaf	purulent conjunctivitis\M	H
126	daam-	(lower) jaw\M	H
127	daanyeer	monkey\M	L
128	daawad-	watch\V	L
129	dab	fire\M	L
130	dabar	fetters\M	L
131	dacay	camel lead rope	
132	dad	people\M.COLL	L
133	dagaal	war\M	
134	dal	country\M	H?
135	dameer	donkey\M	L
136	danab	thunder\M	L
137	daqiiqad	minute\F	
138	dawac-	fox\F	
139	dayax	moon\M	
140	dhabar	back\M	
141	dhakhtar	doctor\M	
142	dhamm-	all	H
143	dhaqan	traditional culture\M	
144	dhar	clothes\M.COLL	
145	dhaxal	inheritance\M	
146	dheer	long\ADJ	L
147	dheg	ear\F	H
148	dhibc-	drop\F	
149	dhir	plant\F.COLL	
150	dhis-	build\V	L
151	dhogor	fur\F	
152	dhoob-	clay\F	
153	dhurw-	hyena\M	
155	dibi	ox\M	H
156	diim-	religion\F	L
157	diim- 2	turtle\M	H
158	Diirriye	Diirriye\M	
159	dir-	send	L
160	dirxi	worm	
162	doofaar	pig\M	L
163	doog 1	greenery, green colour\M	H
164	doolli	rat, mouse\M	H
165	dubb-	hammer\M	H
166	dugsi	school\M	H?
167	dukaamm-	shop\M	H
168	dul 1	nostril\M	H
169	dumar	woman\M.COLL	L
170	durbaan	drum\M	
171	durdur	streamlet\M	LL
172	duul- 2	attack	H
173	duul- 1	fly	L
174	-e	DER\M	
175	ee	COMP ??	L
176	eedd-	aunt\F	H
177	eeg-	look\V	L
178	ery-	chase\V	H
179	ey	dog\M	H
180	Faadum-	Fatima\F	L
181	Faa'is-	Faisa\F	
182	Faarax	Faarax\M	
183	fadlan	please	
184	far	finger\F	L
185	Fardows-	Fardowsa\F	
186	farii-	sit down\V	L
187	farxad	happiness\F	
188	fasal	class\M	
