4312	Mm__1__1.wav	aabbe	aabbé	
4313	Mm__1__2.wav	qare	qáre	
4314	Mm__1__3.wav	aabbe	aabbé	
4315	Mm__1__4.wav	qare	qārē	
4316	Mm__1__5.wav	qare	qaré	
4317	Mm__1__6.wav	Waxaan cunay qare.	Waxáan cunay ... qaré.	
4318	Mm__1__7.wav	Waxaan cunay qare.	Wáxaan cunay qáre.	
4319	Mm__1__8.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4320	Mm__1__9.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4321	Mm__1__10.wav	Ma cuntay qare?	Má cuntay qaré?	
4322	Mm__1__11.wav	Ma cuntay qare?	Má cuntay qarē?	
4323	Mm__1__12.wav	Ma cuntay qare?	*Ma cuntay qare?	
4324	Mm__1__13.wav	Ma cuntay qare?	Má cuntay qaré?	
4325	Mm__1__14.wav	Waxaan cunay qare.	Wáxaan cunay ..... qáre.	
4326	Mm__1__15.wav	Ma cuntay qare?	Má cuntay qaré?	
4327	Mm__1__16.wav	aabbe	aabbé	
4328	Mm__1__17.wav	Waxaa yimid aabbe.	Waxaa yimid ... aábbe.	
4329	Mm__1__18.wav	Waxaa yimid aabbe.	Wáxaa yimid aábbe.	
4330	Mm__1__19.wav	Waxaa yimid aabbe.	Wáxaa yimid aábbe.	
4331	Mm__1__20.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4332	Mm__1__21.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4333	Mm__1__22.wav	Waxaa yimid aabbe.	Wáxaa yimíd aábbe.	
4334	Mm__1__23.wav	Ma aragtay aabbe?	Má aragtay aabbé?	
4335	Mm__1__24.wav	bare	báre	
4336	Mm__1__25.wav	bare	baré	
4337	Mm__1__26.wav	Cali waa bare.	Cali waa báre	
4338	Mm__1__27.wav	Cali waa bare.	Cali waa báre	
4339	Mm__1__28.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4340	Mm__1__29.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4341	Mm__1__30.wav	Adigu bare miyaad tahay?	Adígu baré míyaad tahay?	
4342	Mm__1__31.wav	bare	báre	
4343	Mm__1__32.wav	Cali waa bare.	Cali waa báre	
4344	Mm__1__33.wav	Adigu bare miyaad tahay?	Adígu baré míyaad taháy?	
4345	Mm__1__34.wav	Cali waa bare.	Cali waa báre.	
4346	Mm__1__35.wav	Warsame	Warsáme	
4347	Mm__1__36.wav	Warsame	Warsáme	
4348	Mm__1__37.wav	Garoowe	Garóowe	
4349	Mm__1__38.wav	Garoowe	Garóowe	
4350	Mm__1__39.wav	Warsame	Warsáme	
4351	Mm__1__40.wav	Garoowe	Garóowe	
4352	Mm__1__41.wav	Diirriye	Diirríye	
4353	Mm__1__42.wav	Diirriye	Diirríye	
4354	Mm__1__43.wav	madax-weyne	madax-weýne	
4355	Mm__1__44.wav	madax-weyne	madax-weýne	
4356	Mm__1__45.wav	Waxaad tahay madax-weyne.	Waxáad tahay madax-wéyne.	
4357	Mm__1__46.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4358	Mm__1__47.wav	Adigu madax-weyne miyaad tahay?	(Adigu) madax-weyné míyaad tahay?	
4359	Mm__1__48.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4360	Mm__1__49.wav	Waxaad tahay madax-weyne.	Wáxaad tahay madax-weýne.	
4361	Mm__1__50.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4362	Mm__1__51.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4363	Mm__1__52.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4364	Mm__1__53.wav	Adigu madax-weyne miyaad tahay?	Adígu madax-weyné míyaad tahay?	
4365	Mm__1__54.wav	Ma madax-weyne ayaad tahay?	Ma madax-weyné ayáad tahay?	
4366	Mm__1__55.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4367	Mm__1__56.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4368	Mm__1__57.wav	Madax-weyne ayaa yimid Iswiidhan.	Madax-weyné ayáa yimíd Swiídan.	
4369	Mm__1__58.wav	boqor	bóqor	
4370	Mm__1__59.wav	boqorka	bóqorka	
4371	Mm__1__60.wav	Boqorkii ayaa yimid.	Bóqorkīī ayáa yimíd.	
4372	Mm__1__61.wav	Boqorkii ayaa yimid.	Bóqorkii ayáa yimíd.	
4373	Mm__1__62.wav	Boqorkii ma yimid?	Bóqorkii má yimid?	
4374	Mm__1__63.wav	Boqorkii ma yimid?	Bóqorkii má yimid?	
4375	Mm__1__64.wav	Ma yimid boqorkii?	Má yimid bóqorkii?	
4376	Mm__1__65.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4377	Mm__1__66.wav	Wuxuu ahaa boqor.	Wuxúu ahaa bóqor.	
4378	Mm__1__67.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4379	Mm__1__68.wav	Wuxuu ahaa boqor.	Wuxuu ahaa bóqor.	
4380	Mm__1__69.wav	Wuxuu ahaa madax-weyne.	Wuxúu ahaa madax-weýne.	
4381	Mm__1__70.wav	eeddo	eéddo	
4382	Mm__1__71.wav	kalkaaliso	kalkaalíso	
4383	Mm__1__72.wav	Waxaan ahay kalkaaliso.	Wáxaan ahay kalkaalíso.	
4384	Mm__1__73.wav	Waxaa tahay kalkaaliso.	Wáxaa tahay kalkaalíso.	
4385	Mm__1__74.wav	kalkaaliso	kalkaaliso	
4386	Mm__1__75.wav	kalkaaliso	kalkaalíso	
4387	Mm__1__76.wav	Kalkaaliso ayaan ahay.	Kalkaalisó ayáan ahay.	
4388	Mm__1__77.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4389	Mm__1__78.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4390	Mm__1__79.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4391	Mm__1__80.wav	Adigu kalkaaliso miyaad tahay?	Adígu kalkaalisó miyáad tahay?	
4392	Mm__1__81.wav	Waxaan ahay kalkaaliso.	Wáxaan ahay kalkaalíso.	
4393	Mm__1__82.wav	Kalkaaliso ayaan ahay.	Kalkaalisó ayáan ahay.	
4394	Mm__1__83.wav	Ma kalkaaliso ayaad tahay?	Ma kalkaalisó ayáad tahay?	
4395	Mm__1__84.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4396	Mm__1__85.wav	Adigu kalkaaliso miyaad tahay?	Adígu kalkaalisó miyáad tahay?	
4397	Mm__1__86.wav	Muqdisho	Muqdísho	
4398	Mm__1__87.wav	Muqdisho ayaan deggan ahay.	Muqdishó ayáan deggán ahay.	
4399	Mm__1__88.wav	Muqdisho ayaan deggan ahay.	Muqdishó ayáan deggán ahay.	
4400	Mm__1__89.wav	Ma waxaad deggan tahay Muqdisho?	Ma wáxaad deggán tahay Muqdishó?	
4401	Mm__1__90.wav	Ma waxaad deggan tahay Muqdisho?	Ma wáxaad deggán tahay Muqdísho?	
4402	Mm__1__91.wav	Ma waxaad deggan tahay Muqdisho?	M' wáxaad deggán tahay Muqdishó?	
4403	Mm__1__92.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4404	Mm__1__93.wav	Ma waxaad deggan tahay Muqdisho?	Ma wáxaad deggán tahay Muqdísho?	
4405	Mm__1__94.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4406	Mm__1__95.wav	Muqdisho ayaan deggan ahay.	Muqdishó ayáan deggán ahay.	
4407	Mm__1__96.wav	Ma waxaad deggan tahay Muqdisho?	Ma wáxaad deggán tahay Muqdísho?	
4408	Mm__1__97.wav	Ma waxaad tahay kalkaaliso?	Ma wáxaad tahay kalkaalíso?	
4409	Mm__1__98.wav	arday|m	árday	
4410	Mm__1__99.wav	Waxaan ahay arday.	Wáxaan ahay árday.	
4411	Mm__1__100.wav	Arday miyaad tahay?	Árday míyaad tahay?	
4412	Mm__1__101.wav	Arday miyaad tahay?	Árday míyáad tahay?	
4413	Mm__1__102.wav	Waxaan ahay arday.	Wáxaan ahay árday.	
4414	Mm__1__103.wav	Arday miyaad tahay?	Árday míyaad tahay?	
4415	Mm__1__104.wav	Waxaa joogta arday badan.	Wáxaa joogtá ardaý badan.	
4416	Mm__1__105.wav	arday|f	ardaý	
4417	Mm__1__106.wav	Arday badan ayaa timid.	Ardaý badán ayáa timid.	
4418	Mm__1__107.wav	Arday badan ayaa timid.	Ardaý badán ayáa timid.	
4419	Mm__1__108.wav	ardo|f	árdo	
4420	Mm__1__109.wav	ardo badan	ardó badán	
4421	Mm__1__110.wav	ardo|f	ardó	
4422	Mm__1__111.wav	ardo|f	árdo	
4423	Mm__1__112.wav	Waxaan hayaa ardo badan.	Waxáan hayaa ardó badan.	
4424	Mm__1__113.wav	arday|f	ardaý	
4426	Mm__1__114.wav	ardo|f	árdo	
4427	Mm__1__115.wav	Waxaan hayaa ardo badań.	Waxaan hayaa ardó badań.	
4428	Mm__1__116.wav	Iyagu waa ardo badan.	Iyágu waa ardó badan.	
4429	Mm__1__117.wav	Iyagu waa ardo.	Iyágu waa árdo.	
4430	Mm__1__118.wav	Iyagu waa arday.	Iyágu waa ardaý.	
4431	Mm__1__119.wav	Arday miyaad tahay?	Árday míyaad tahay?	
4432	Mm__1__120.wav	Waxaa joogta arday badan.	Wáxaa joogtá ardaý badan.	
4433	Mm__1__121.wav	Arday badan ayaa timid.	Ardaý badán ayáa timid.	
4434	Mm__1__122.wav	Waxaan hayaa ardo badan.	Wáxaan hayaa ardó badan.	
4435	Mm__1__123.wav	Iyagu waa ardo.	Iyágu waa árdo.	
4436	Mm__1__124.wav	Iyagu waa ardo badan.	Iyágu waa ardó badán.	
4437	Mm__1__125.wav	Iyagu waa arday.	Iyágu waa ardaý.	
4438	Mm__1__126.wav	Iyagu waa arday badan.	Iyágu waa ardaý badan.	
4439	Mm__1__127.wav	Hargeysa	Hargeýsa	
4440	Mm__1__128.wav	Berbera	Berbéra	
4441	Mm__1__129.wav	Berbera	Berbéra	
4442	Mm__1__130.wav	Boorama	Bóoramá	
4443	Mm__1__131.wav	Berbera	Berbéra	
4444	Mm__1__132.wav	Berbera	Berberá	
4445	Mm__1__133.wav	Hargeysa	Hargeysá	
4446	Mm__1__134.wav	Waxaan tegay Hargeysa.	Wáxaan tegay Hargeysá.	
4447	Mm__1__135.wav	Waxaan tegay Hargeysa.	Wáxaan tegay Hargeysá.	
4448	Mm__1__136.wav	Hargeysa waa magaalo weyn.	Hargeýsa waa magaaló weyn.	
4449	Mm__1__137.wav	Hargeysa waa magaalo weyn.	Hargeýsa waa magaalá weyn.	
